campaign_id,customer_id,email_sent,opened,clicked,converted,revenue_generated,campaign_date,is_synthetic
CAMP_002,ce60ceaf2d12ac87fa2119a364c89e81,1,0,0,0,0.0,2018-06-08,1
CAMP_001,7e05679b11824f00a2ab44b5fe6934c7,1,0,0,0,0.0,2018-06-04,1
CAMP_005,15b2459300f0b85b233d798c23552cee,1,1,1,1,154.58,2018-08-01,1
CAMP_008,5f28e0db75ddc9aec85f8c30533b95ba,1,0,0,0,0.0,2018-08-03,1
CAMP_006,8deaaff82a1e3dec44a5e59ed5f67574,1,1,0,0,0.0,2018-01-30,1
CAMP_007,cbaa283d24331afa69ec87fb63457300,1,0,0,0,0.0,2018-02-07,1
CAMP_006,970bcb181a9694a0fb46b33fbe0b3986,1,1,1,0,0.0,2018-04-28,1
CAMP_007,d01c0729c331d869c92a3f89b859a77d,1,0,0,0,0.0,2018-03-01,1
CAMP_005,a6f32dc3af6f12f966dc731d5cebb4c1,1,0,0,0,0.0,2018-04-12,1
CAMP_002,f56bf73e81d727372f3f025153d7e5b3,1,1,1,0,0.0,2018-07-30,1
CAMP_007,2a97090125bc64367040b2c040bfdd39,1,0,0,0,0.0,2018-03-18,1
CAMP_004,a03575fad239283d9f06c7bae8217f11,1,1,0,0,0.0,2018-05-15,1
CAMP_005,640e0836427ba779695829b5ea1f6dfb,1,0,0,0,0.0,2018-08-18,1
CAMP_003,aad82fe415a8c3b628e756cdb61deccd,1,0,0,0,0.0,2018-02-18,1
CAMP_002,de73aaf796ce2f288c428bc9006e4057,1,0,0,0,0.0,2018-08-31,1
CAMP_008,59ecdf85e2990f37a49405f00c8409bc,1,0,0,0,0.0,2018-05-01,1
CAMP_007,4ea58d1f2aee1ec5c2031edb8f39f758,1,1,0,0,0.0,2018-04-26,1
CAMP_006,9ccd3694bf9d11a53846dcc5c105e7b6,1,0,0,0,0.0,2018-03-24,1
CAMP_004,d5893df786726a4f6efaa636355118a3,1,0,0,0,0.0,2018-02-14,1
CAMP_007,88ecb91d6d5e47ebdc2129cd046b0935,1,1,0,0,0.0,2018-03-24,1
CAMP_005,fb0189729bb98a5723c53f0aa3381776,1,0,0,0,0.0,2018-07-24,1
CAMP_004,6499986b00d14fa984d68727de0c2a17,1,1,0,0,0.0,2018-03-13,1
CAMP_004,917ea6ff2f71da154c6fb2ac2528af99,1,1,0,0,0.0,2018-02-11,1
CAMP_002,effa33ae346743fcd91124edddeb8c49,1,1,1,0,0.0,2018-07-02,1
CAMP_001,926ed421810baa116448cd1f89e08ce7,1,0,0,0,0.0,2018-03-22,1
