review_key,source_product_id,product_name,category_name,review_date,rating,review_text,sentiment_label,sentiment_score
12f901dfa3e344dd6de6a76cada95d6e3b94265271c216fa82236cfecc0519f8,AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",electronics,2017-01-13,5.0,This product so far has not disappointed. My children love to use it and I like the ability to monitor control what content they see with ease.,Positive,1.0
92fed300bbc11b7ec2dff595599b3b6d96d6e0f3be2cf78faaf1c71b87144e01,AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",electronics,2017-01-13,5.0,great for beginner or experienced person. Bought as a gift and she loves it,Positive,1.0
5bbc245318a741bd36872b2e6774f9f09749769ac7f22e0eb6a728588a497de0,AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",electronics,2017-01-13,5.0,"Inexpensive tablet for him to use and learn on, step up from the NABI. He was thrilled with it, learn how to Skype on it already...",Positive,1.0
72cc93bce1b8b5ea857c52889b38d3b78215f1ecca91e7d34584be2ad505f5a4,AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",electronics,2017-01-13,4.0,I've had my Fire HD 8 two weeks now and I love it. This tablet is a great value.We are Prime Members and that is where this tablet SHINES. I love being able to easily access all of the Prime content as well as movies you can download and watch laterThis has a 1280/800 screen which has some really nice look to it its nice and crisp and very bright infact it is brighter then the ipad pro costing $900 base model. The build on this fire is INSANELY AWESOME running at only 7.7mm thick and the smooth glossy feel on the back it is really amazing to hold its like the futuristic tab in ur hands.,Positive,0.5
1eff9b91aa5560c076a5bc0696a826872856e2d660fc90fe56fb8dcb0f1586b0,AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",electronics,2017-01-12,5.0,"I bought this for my grand daughter when she comes over to visit. I set it up with her as the user, entered her age and name and now Amazon makes sure that she only accesses sites and content that are appropriate to her age. Simple to do and she loves the capabilities. I also bought and installed a 64gig SD card which gives this little tablet plenty of storage. For the price I think this tablet is best one out there. You can spend hundreds of dollars more for additional speed and capacity but when it comes to the basics this tablets does everything that most people will ever need at a fraction of the cost.",Positive,1.0
6b392a70f8c6b2b9f62b28896dda3e965f62c9ed5cce126cf9ca79d4f25801f9,AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",electronics,2017-01-12,5.0,This amazon fire 8 inch tablet is the perfect size. I purchased it for my husband so that he has a bigger screen than just his phone. He had gotten me one a few years ago so I knew it would be a good purchase.,Positive,1.0
b887cbccca348cec7275cfd5abc29db67eb0e89f4cc71bbe10cac294e6f7a5dc,AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",electronics,2017-01-12,4.0,"Great for e-reading on the go, nice and light weight, and for the price point given, definitely worth the purchase.",Positive,0.5
3be60391c99587f919a05adb774ab51b03417c3fe7d2042981fb5d367ca22335,AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",electronics,2017-01-12,5.0,"I gave this as a Christmas gift to my inlaws, husband and uncle. They loved it and how easy they are to use with fantastic features!",Positive,1.0
0d2dc5c9237085e0c31ba06844f7c74bb3955cd3e53fff690d355e47b598a862,AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",electronics,2017-01-23,5.0,"Great as a device to read books. I like that it links with my borrowed library e-books. Switched from another popular tablet brand and I am happy with the choice I made. It took some time to get books from my previous non-Kindle reader, but finally figured out a way!",Positive,1.0
3f4201831d28f46554454df1c1279e9b237b37792140b80aca3b3022455fcd93,AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",electronics,2017-01-23,5.0,I love ordering books and reading them with the reader.,Positive,1.0
cb2d4f7d16a029edada7bdf68d89225b9ffb325782e665223c16e27fe49eb6bf,AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",electronics,2017-01-23,4.0,Not easy for elderly users cease of ads that pop up.,Positive,0.5
317b6b4d3b8ac6863332d8d1e91f4d46b3100fbaec4328661b64a282444b5a84,AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",electronics,2017-01-23,5.0,"Excellent product. Easy to use, large screen makes watching movies and reading easier.",Positive,1.0
109725a8ed0edc5a5e6b0429fdca356989b3db25f1cc7b7127b3f7ab1b1048c9,AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",electronics,2017-01-23,4.0,Wanted my father to have his first tablet and this is a very good value. He can watch movies and play a few games. Easy enough for him to use.,Positive,0.5
8e993977e88d0789304d276a58fae8848be310459329436c567ce7fa29c4e689,AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",electronics,2017-01-23,5.0,Simply does everything I need. Thank youAnd silk works wonders,Positive,1.0
12b0745c36a4c234c67c1feb706d7f0f52441fba164d44d08332b4a0886e683f,AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",electronics,2017-01-23,5.0,Got it as a present and love the size of the screen,Positive,1.0
5506b192a4698897a3b9c2aa0eec859c509b8114d705ee78ab8c709bfcdc93aa,AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",electronics,2017-01-23,5.0,"The kindle is easiest to use, graphics and screen crisp, clear, brilliant colors.",Positive,1.0
c2cb2404eb6b3785050b46c988f1ff2e68b03378c7ee2795750f4acd59d0bfff,AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",electronics,2017-01-24,4.0,nice reader. almost perfect for what i want/need. good bargain,Positive,0.5
